,epoch,loss,energy_mean,energy_std,GS,CI,HF,proposal_width,acceptance_rate,walltime,l2norm,l2norm_energy_grad,alpha,mu,max_update,module,module_name,pi,use_kfac,damping,adapt_damping,damping_adapt_interval,damping_adapt_decay,min_damping,max_damping,l2_reg,gamma,adapt_gamma,gamma_adapt_interval,gamma_adapt_decay,min_gamma,max_gamma,max_epsilon,epsilon,rho,step,precondition_method,quadratic_model,number_of_minres_it,effective_gradients,use_kl_clipping,norm_constraint,kl_max,log_rho,qmodel_change,loss_change
0,0,0.2837814688682556,1.2360281944274902,0.021425457671284676,2.0,0.5990672369459673,0.8140145540237427,0.6620882749557495,0.4853515625,1.4114747260027798,0.0012476202100515366,1.2544089555740356,-0.9990167617797852,0.0,0.0010088043054565787,Linear,Linear,1.0,True,773.7809374999997,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.0,0,1,VMC,VMC,50,False,False,0.01,1.0,4.056398391723633,-0.0015608072,-0.09016025
1,1,0.26539140939712524,1.2521239519119263,0.020725911483168602,2.0,0.5990672369459673,0.8140145540237427,0.6499586701393127,0.505126953125,0.6887179750010546,0.0015407693572342396,1.200913667678833,-0.9787017107009888,0.9491069316864014,0.001235835487022996,Linear,Linear,1.0,True,773.7809374999997,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.5,0,2,VMC,VMC,50,False,False,0.01,1.0,4.056398391723633,-0.0015608072,-0.09016025
2,2,0.3278442621231079,1.2314674854278564,0.021396378055214882,2.0,0.5990672369459673,0.8140145540237427,0.644318163394928,0.493896484375,0.6900489750005363,0.0015528928488492966,1.2094284296035767,-1.0263322591781616,0.9416214823722839,0.001308387378230691,Linear,Linear,1.0,True,773.7809374999997,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.6666666666666667,0,3,VMC,VMC,50,False,False,0.01,1.0,4.056398391723633,-0.0015608072,-0.09016025
3,3,0.3041405975818634,1.222472906112671,0.021660301834344864,2.0,0.5990672369459673,0.8140145540237427,0.6585044264793396,0.517333984375,0.6894845990027534,0.0016019904287531972,1.2488412857055664,-0.9748002886772156,0.9456698894500732,0.0012692034943029284,Linear,Linear,1.0,True,773.7809374999997,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.75,0,4,VMC,VMC,50,False,False,0.01,1.0,4.056398391723633,-0.0015608072,-0.09016025
4,4,0.31334808468818665,1.196731448173523,0.02159278094768524,2.0,0.5990672369459673,0.8140145540237427,0.6634730696678162,0.51708984375,0.7133789099971182,0.0016475316369906068,1.284218430519104,-1.0068464279174805,0.9423089027404785,0.0013134352630004287,Linear,Linear,1.0,True,773.7809374999997,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.8,0,5,VMC,VMC,50,False,False,0.01,1.0,4.056398391723633,-0.0015608072,-0.09016025
5,5,0.30811983346939087,1.2246735095977783,0.02164686843752861,2.0,0.5990672369459673,0.8140145540237427,0.6462437510490417,0.49462890625,1.175272202999622,0.001535120652988553,1.1960880756378174,-1.018552303314209,0.9435012936592102,0.0012444036547094584,Linear,Linear,1.0,True,598.7369392383785,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.8333333333333334,0,6,VMC,VMC,50,False,False,0.01,1.0,3.916642904281616,-0.0018298626,-0.091914296
6,6,0.3015215992927551,1.2278985977172852,0.020966719835996628,2.0,0.5990672369459673,0.8140145540237427,0.6470968723297119,0.492919921875,0.7094147940006224,0.0019641988910734653,1.1870477199554443,-0.9821672439575195,0.9467784762382507,0.0015858490951359272,Linear,Linear,1.0,True,598.7369392383785,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.8571428571428572,0,7,VMC,VMC,50,False,False,0.01,1.0,3.916642904281616,-0.0018298626,-0.091914296
7,7,0.3403705358505249,1.2023968696594238,0.0214431993663311,2.0,0.5990672369459673,0.8140145540237427,0.6556294560432434,0.50146484375,0.6965712290002557,0.001967238262295723,1.1871918439865112,-1.0101397037506104,0.9413325190544128,0.0016674097860231996,Linear,Linear,1.0,True,598.7369392383785,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.875,0,8,VMC,VMC,50,False,False,0.01,1.0,3.916642904281616,-0.0018298626,-0.091914296
8,8,0.2833781838417053,1.2217626571655273,0.02095356024801731,2.0,0.5990672369459673,0.8140145540237427,0.6453281044960022,0.503173828125,0.6909260739994352,0.001938926288858056,1.1714279651641846,-0.9764424562454224,0.9432116150856018,0.0015522482572123408,Linear,Linear,1.0,True,598.7369392383785,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.8888888888888888,0,9,VMC,VMC,50,False,False,0.01,1.0,3.916642904281616,-0.0018298626,-0.091914296
9,9,0.36736610531806946,1.1845076084136963,0.022331133484840393,2.0,0.5990672369459673,0.8140145540237427,0.6482692956924438,0.491943359375,0.692666522001673,0.0020442730747163296,1.2346065044403076,-1.0457837581634521,0.9362077713012695,0.001677412772551179,Linear,Linear,1.0,True,598.7369392383785,True,5,0.95,1e-07,1e+20,0,31.622776601683793,True,5,0.9746794344808963,0.0001,1e+20,0.9,0.9,0,10,VMC,VMC,50,False,False,0.01,1.0,3.916642904281616,-0.0018298626,-0.091914296
