,epoch,loss_mean,loss_std,proposal_width,acceptance_rate,walltime
0,0,1.4805721437517338,0.36490425459014475,"tensor(0.610416, device='cuda:0')","tensor(0.501953, device='cuda:0')",0.9065655000013066
1,1,1.42616484786602,0.3525737227147107,"tensor(0.605817, device='cuda:0')","tensor(0.514648, device='cuda:0')",0.8535437870013993
2,2,1.3973801741217895,0.3423601390695914,"tensor(0.618399, device='cuda:0')","tensor(0.507568, device='cuda:0')",0.8515733880012704
3,3,1.351948072561303,0.3279128795058886,"tensor(0.608475, device='cuda:0')","tensor(0.500977, device='cuda:0')",0.8496223280017148
4,4,1.3142649716102395,0.32300109235482294,"tensor(0.600901, device='cuda:0')","tensor(0.489746, device='cuda:0')",0.8761961220006924
5,5,1.2901476106729315,0.30822345236700116,"tensor(0.640781, device='cuda:0')","tensor(0.513672, device='cuda:0')",0.8419456620031269
6,6,1.245029637820526,0.3051621943492749,"tensor(0.620696, device='cuda:0')","tensor(0.503906, device='cuda:0')",0.8465420920001634
7,7,1.2091203605875054,0.28884460683058033,"tensor(0.624617, device='cuda:0')","tensor(0.486084, device='cuda:0')",0.8306356299981417
8,8,1.1747743533079642,0.28302855735718824,"tensor(0.616077, device='cuda:0')","tensor(0.497314, device='cuda:0')",0.8306157480001275
9,9,1.1458327603605327,0.28026355995485613,"tensor(0.628937, device='cuda:0')","tensor(0.490723, device='cuda:0')",0.8277750770030252
10,10,1.1174771824577125,0.2666894314580432,"tensor(0.635523, device='cuda:0')","tensor(0.507324, device='cuda:0')",0.8291675350010337
11,11,1.0840880832505944,0.26453623686404715,"tensor(0.627107, device='cuda:0')","tensor(0.492920, device='cuda:0')",0.8315015499974834
12,12,1.0552528723460946,0.26243214118927316,"tensor(0.638155, device='cuda:0')","tensor(0.491211, device='cuda:0')",0.8333644930025912
13,13,1.0301781224075572,0.25347608955245265,"tensor(0.644010, device='cuda:0')","tensor(0.503662, device='cuda:0')",0.8368658469989896
14,14,0.9926388118274844,0.2494197319959957,"tensor(0.633106, device='cuda:0')","tensor(0.499756, device='cuda:0')",0.8396159930016438
15,15,0.9771225874472835,0.2445753617851584,"tensor(0.627445, device='cuda:0')","tensor(0.492920, device='cuda:0')",0.8298132429990801
16,16,0.9535766806113197,0.23826548998234304,"tensor(0.639560, device='cuda:0')","tensor(0.501221, device='cuda:0')",0.8542352940021374
